treatment,plant,hours,canopy_kpx,rel
MR_plusMicrobe_flight,mr1-1 jpegs,0.0,2.72,1.0
MR_plusMicrobe_flight,mr1-1 jpegs,0.445,2.71,0.9952
MR_plusMicrobe_flight,mr1-1 jpegs,0.89,2.76,1.0121
MR_plusMicrobe_flight,mr1-1 jpegs,1.335,2.97,1.0918
MR_plusMicrobe_flight,mr1-1 jpegs,1.78,2.82,1.0356
MR_plusMicrobe_flight,mr1-1 jpegs,2.225,2.8,1.0275
MR_plusMicrobe_flight,mr1-1 jpegs,2.67,2.98,1.0932
MR_plusMicrobe_flight,mr1-1 jpegs,3.115,2.69,0.9883
MR_plusMicrobe_flight,mr1-1 jpegs,3.56,2.58,0.9486
MR_plusMicrobe_flight,mr1-1 jpegs,4.005,2.36,0.8667
MR_plusMicrobe_flight,mr1-1 jpegs,4.451,2.28,0.8359
MR_plusMicrobe_flight,mr1-1 jpegs,4.896,2.2,0.8091
MR_plusMicrobe_flight,mr1-1 jpegs,5.341,2.13,0.7823
MR_plusMicrobe_flight,mr1-1 jpegs,5.786,2.08,0.7632
MR_plusMicrobe_flight,mr1-1 jpegs,6.231,2.01,0.739
MR_plusMicrobe_flight,mr1-1 jpegs,6.676,1.96,0.7195
MR_plusMicrobe_flight,mr1-1 jpegs,7.121,1.9,0.696
MR_plusMicrobe_flight,mr1-1 jpegs,7.566,1.9,0.6979
MR_plusMicrobe_flight,mr1-1 jpegs,8.011,1.81,0.6634
MR_plusMicrobe_flight,mr1-1 jpegs,8.456,1.86,0.6825
MR_plusMicrobe_flight,mr1-1 jpegs,8.901,1.88,0.6909
MR_plusMicrobe_flight,mr1-1 jpegs,9.346,1.83,0.6718
MR_plusMicrobe_flight,mr1-1 jpegs,9.791,1.81,0.6656
MR_plusMicrobe_flight,mr1-1 jpegs,10.236,1.78,0.6531
MR_plusMicrobe_flight,mr1-1 jpegs,10.681,1.64,0.6021
MR_plusMicrobe_flight,mr1-1 jpegs,11.126,1.65,0.6054
MR_plusMicrobe_flight,mr1-1 jpegs,11.571,1.59,0.5822
MR_plusMicrobe_flight,mr1-1 jpegs,12.016,1.58,0.5786
MR_plusMicrobe_flight,mr1-1 jpegs,12.462,1.55,0.5705
MR_plusMicrobe_flight,mr1-1 jpegs,12.907,1.54,0.5661
MR_plusMicrobe_flight,mr1-1 jpegs,13.352,1.52,0.5569
MR_plusMicrobe_flight,mr1-1 jpegs,13.797,1.53,0.5631
MR_plusMicrobe_flight,mr1-1 jpegs,14.242,1.52,0.5573
MR_plusMicrobe_flight,mr1-1 jpegs,14.687,1.51,0.5551
MR_plusMicrobe_flight,mr1-1 jpegs,15.132,1.49,0.5463
MR_plusMicrobe_flight,mr1-1 jpegs,15.577,1.48,0.5433
MR_plusMicrobe_flight,mr1-1 jpegs,16.022,1.48,0.5437
MR_plusMicrobe_flight,mr1-1 jpegs,16.467,1.49,0.5485
MR_plusMicrobe_flight,mr1-1 jpegs,16.912,1.5,0.5507
MR_plusMicrobe_flight,mr1-1 jpegs,17.357,1.48,0.5422
MR_plusMicrobe_flight,mr1-1 jpegs,17.802,1.49,0.5474
MR_plusMicrobe_flight,mr1-1 jpegs,18.247,1.49,0.5463
MR_plusMicrobe_flight,mr1-1 jpegs,18.692,1.49,0.5485
MR_plusMicrobe_flight,mr1-1 jpegs,19.137,1.49,0.5474
MR_plusMicrobe_flight,mr1-1 jpegs,19.582,1.46,0.5374
MR_plusMicrobe_flight,mr1-1 jpegs,20.027,1.47,0.5378
MR_plusMicrobe_flight,mr1-1 jpegs,20.472,1.46,0.5352
MR_plusMicrobe_flight,mr1-1 jpegs,20.917,1.48,0.5444
MR_plusMicrobe_flight,mr1-1 jpegs,21.362,1.46,0.5345
MR_plusMicrobe_flight,mr1-1 jpegs,21.807,1.45,0.5319
MR_plusMicrobe_flight,mr1-1 jpegs,22.252,1.44,0.5283
MR_plusMicrobe_flight,mr1-1 jpegs,22.697,1.45,0.5319
MR_plusMicrobe_flight,mr1-1 jpegs,23.142,1.45,0.5338
MR_plusMicrobe_flight,mr1-1 jpegs,23.587,1.46,0.5367
MR_plusMicrobe_flight,mr1-1 jpegs,24.032,1.44,0.5294
MR_plusMicrobe_flight,mr1-1 jpegs,24.477,1.45,0.5334
MR_plusMicrobe_flight,mr1-1 jpegs,24.922,1.44,0.5286
MR_plusMicrobe_flight,mr1-1 jpegs,25.367,1.44,0.5301
MR_plusMicrobe_flight,mr1-1 jpegs,25.812,1.42,0.5202
MR_plusMicrobe_flight,mr1-1 jpegs,26.257,1.39,0.5088
MR_plusMicrobe_flight,mr1-1 jpegs,26.702,1.4,0.5151
MR_plusMicrobe_flight,mr1-1 jpegs,27.147,1.37,0.504
MR_plusMicrobe_flight,mr1-1 jpegs,27.592,1.42,0.5206
MR_plusMicrobe_flight,mr1-1 jpegs,28.037,1.31,0.4816
MR_plusMicrobe_flight,mr1-1 jpegs,28.482,1.3,0.4772
MR_plusMicrobe_flight,mr1-1 jpegs,28.927,1.32,0.486
MR_plusMicrobe_flight,mr1-1 jpegs,29.372,1.24,0.4552
MR_plusMicrobe_flight,mr1-1 jpegs,29.817,1.19,0.438
MR_plusMicrobe_flight,mr1-1 jpegs,30.262,1.15,0.4236
MR_plusMicrobe_flight,mr1-1 jpegs,30.707,1.1,0.4023
MR_plusMicrobe_flight,mr1-1 jpegs,31.152,1.15,0.4211
MR_plusMicrobe_flight,mr1-1 jpegs,31.597,1.06,0.3884
MR_plusMicrobe_flight,mr1-1 jpegs,32.042,1.12,0.4097
MR_plusMicrobe_flight,mr1-1 jpegs,32.487,1.07,0.3913
MR_plusMicrobe_flight,mr1-1 jpegs,32.932,0.96,0.3539
MR_plusMicrobe_flight,mr1-1 jpegs,33.377,0.99,0.3642
MR_plusMicrobe_flight,mr1-1 jpegs,33.822,0.99,0.3649
MR_plusMicrobe_flight,mr1-1 jpegs,34.267,0.96,0.3528
MR_plusMicrobe_flight,mr1-1 jpegs,34.712,0.99,0.362
MR_plusMicrobe_flight,mr1-1 jpegs,35.157,1.01,0.3715
MR_plusMicrobe_flight,mr1-1 jpegs,35.602,0.97,0.3579
MR_plusMicrobe_flight,mr1-1 jpegs,36.047,0.96,0.3521
MR_plusMicrobe_flight,mr1-1 jpegs,36.492,0.95,0.3484
MR_plusMicrobe_flight,mr1-1 jpegs,36.937,0.91,0.3355
MR_plusMicrobe_flight,mr1-1 jpegs,37.382,0.9,0.33
MR_plusMicrobe_flight,mr1-1 jpegs,37.827,0.89,0.3271
MR_plusMicrobe_flight,mr1-1 jpegs,38.272,0.86,0.3168
MR_plusMicrobe_flight,mr1-1 jpegs,38.717,0.86,0.3153
MR_plusMicrobe_flight,mr1-1 jpegs,39.162,0.85,0.3128
MR_plusMicrobe_flight,mr1-1 jpegs,39.608,0.82,0.3007
MR_plusMicrobe_flight,mr1-1 jpegs,40.053,0.87,0.3194
MR_plusMicrobe_flight,mr1-1 jpegs,40.497,0.86,0.3153
